code,prefecture,city,2017,2018,2019,2020,2021,2022,2023,2024,cagr_7y
134210,Tokyo,小笠原村,6707944,6653162,6678406,6961308,7401594,7418343,7600079,7810877,0.021985
141003,Kanagawa,横浜市,7377110221,7520547927,7714548262,7768948349,7965147669,8272120269,8505116909,8750094598,0.024683
141011,Kanagawa,横浜市鶴見区,,,,,,,,,0.024683
141020,Kanagawa,横浜市神奈川区,,,,,,,,,0.024683
141038,Kanagawa,横浜市西区,,,,,,,,,0.024683
141046,Kanagawa,横浜市中区,,,,,,,,,0.024683
141054,Kanagawa,横浜市南区,,,,,,,,,0.024683
141062,Kanagawa,横浜市保土ケ谷区,,,,,,,,,0.024683
141071,Kanagawa,横浜市磯子区,,,,,,,,,0.024683
141089,Kanagawa,横浜市金沢区,,,,,,,,,0.024683
141097,Kanagawa,横浜市港北区,,,,,,,,,0.024683
141101,Kanagawa,横浜市戸塚区,,,,,,,,,0.024683
141119,Kanagawa,横浜市港南区,,,,,,,,,0.024683
141127,Kanagawa,横浜市旭区,,,,,,,,,0.024683
141135,Kanagawa,横浜市緑区,,,,,,,,,0.024683
141143,Kanagawa,横浜市瀬谷区,,,,,,,,,0.024683
141151,Kanagawa,横浜市栄区,,,,,,,,,0.024683
141160,Kanagawa,横浜市泉区,,,,,,,,,0.024683
141178,Kanagawa,横浜市青葉区,,,,,,,,,0.024683
141186,Kanagawa,横浜市都筑区,,,,,,,,,0.024683
141305,Kanagawa,川崎市,3032362810,3156225588,3257865270,3326112981,3415221472,3541494657,3654963600,3787286663,0.032268
141313,Kanagawa,川崎市川崎区,,,,,,,,,0.032268
141321,Kanagawa,川崎市幸区,,,,,,,,,0.032268
141330,Kanagawa,川崎市中原区,,,,,,,,,0.032268
141348,Kanagawa,川崎市高津区,,,,,,,,,0.032268
141356,Kanagawa,川崎市多摩区,,,,,,,,,0.032268
141364,Kanagawa,川崎市宮前区,,,,,,,,,0.032268
141372,Kanagawa,川崎市麻生区,,,,,,,,,0.032268
141500,Kanagawa,相模原市,1158920615,1188278846,1200154317,1214482035,1236324308,1279057104,1309794423,1337113839,0.020642
141518,Kanagawa,相模原市緑区,,,,,,,,,0.020642
141526,Kanagawa,相模原市中央区,,,,,,,,,0.020642
141534,Kanagawa,相模原市南区,,,,,,,,,0.020642
142018,Kanagawa,横須賀市,607762001,624981444,621064223,618745947,629291682,639741858,652434897,639498218,0.007298
142034,Kanagawa,平塚市,401122401,409479677,416060394,419947793,422826941,435122646,447653304,454990548,0.018164
142042,Kanagawa,鎌倉市,382305991,399104989,397623093,405193691,418971122,458815487,458721588,460468326,0.026931
142051,Kanagawa,藤沢市,813655359,843094186,859148857,869918431,894719731,933174133,963198877,988769493,0.028238
142069,Kanagawa,小田原市,296009883,302846020,306857736,307294559,312125511,323226473,326698166,335330899,0.017978
142077,Kanagawa,茅ケ崎市,416199381,430415099,440365512,445033220,449840671,484058186,485978912,502064692,0.027157
142085,Kanagawa,逗子市,119346487,123698748,128023250,123396735,129282283,134984736,134546102,142754284,0.025915
142107,Kanagawa,三浦市,60204103,61513904,60337820,59759489,59141817,60017838,60005591,59864951,-0.000807
142115,Kanagawa,秦野市,242096082,245224480,245185985,246621387,247640508,255360189,258552119,261102379,0.010855
142123,Kanagawa,厚木市,370641820,378010653,387921305,388256482,394756940,411670972,417688602,422693468,0.01895
142131,Kanagawa,大和市,399377506,403343658,412704770,422221488,435647248,455193303,472463633,479836939,0.026567
142140,Kanagawa,伊勢原市,165081572,169427669,175036201,175210022,177065685,182031256,183491647,189164850,0.019645
142158,Kanagawa,海老名市,218961730,226913443,237430849,240753528,251792044,261741384,274127093,277943751,0.034662
142166,Kanagawa,座間市,198950116,204963932,208503854,212833399,217164549,223702936,228340774,230319588,0.021137
142174,Kanagawa,南足柄市,62615593,63968781,62934100,62179388,63330943,63981759,64704883,64158402,0.003483
142182,Kanagawa,綾瀬市,123843044,126421229,127837735,128234826,130335713,133937040,135895902,143146226,0.020909
