code,prefecture,city,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,cagr_10y,cagr_5y
82210,茨城県,ひたちなか市,31700,31900,31700,31500,31500,31500,31500,31500,31800,31800,0.00035001778670173955,0.0023724959135864587
132284,東京都,あきる野市,97700,98000,98600,98600,98900,98600,95900,95800,96600,98000,0.0003407157661952098,-0.0015247820712830373
114006,埼玉県,大里郡,37300,36100,35800,35600,35400,37500,37500,37400,37400,37400,0.00029753067244131515,-0.0006673343722753966
114081,埼玉県,寄居町,37300,36100,35800,35600,35400,37500,37500,37400,37400,37400,0.00029753067244131515,-0.0006673343722753966
112143,埼玉県,春日部市,87700,86900,85900,85900,87100,87400,86800,86700,87000,87900,0.0002531326229895381,0.0014271479151171107
84409,茨城県,稲敷郡,47800,47300,48800,48500,48300,48100,47700,47500,47600,47900,0.00023223417545503722,-0.0010411258257513323
114405,埼玉県,南埼玉郡,58300,58200,58400,58300,58300,58200,58200,58100,58100,58400,0.000190439962246991,0.0008580016472019558
114421,埼玉県,宮代町,58300,58200,58400,58300,58300,58200,58200,58100,58100,58400,0.000190439962246991,0.0008580016472019558
112178,埼玉県,鴻巣市,66500,67000,66900,66700,66600,66500,66100,65800,66200,66500,,
113000,埼玉県,北足立郡,,,,,,,,,,,,
113018,埼玉県,伊奈町,,,,,,,,,,,,
113433,埼玉県,小川町,,,,,,,,,,,,
113638,埼玉県,長瀞町,,,,,,,,,,,,
114642,埼玉県,杉戸町,55000,55400,55300,55500,55400,55400,55100,55000,55000,55000,,-0.0018099621695210066
123421,千葉県,神崎町,,,,,,,,,,,,
124419,千葉県,大多喜町,,,,,,,,,,,,
133078,東京都,檜原村,,,,,,,,,,,,
133086,東京都,奥多摩町,,,,,,,,,,,,
133647,東京都,神津島村,7100,7100,7100,7100,7100,7100,7100,7100,7100,7100,,
134210,東京都,小笠原村,40800,40800,40800,40800,40800,40800,40800,40800,40800,40800,,
143626,神奈川県,大井町,,,,,,,,,,,,
114600,埼玉県,北葛飾郡,58250,59050,58850,58800,58650,58500,58150,57950,57950,58150,-0.0001908943863626611,-0.0014990940525682062
113417,埼玉県,滑川町,53300,53100,53100,53100,53300,53400,53200,53200,53200,53200,-0.00020863765704737247,-0.0009376475382033567
122122,千葉県,佐倉市,63300,63200,62400,61700,61600,61600,61600,61700,63100,63100,-0.0003515559233919774,0.0060328495291381845
114651,埼玉県,松伏町,61500,62700,62400,62100,61900,61600,61200,60900,60900,61300,-0.0003618602761390477,-0.0012197623837076899
122157,千葉県,旭市,28400,28400,28300,28300,28300,28300,28300,28300,28300,28300,-0.00039184993097285403,
133051,東京都,日の出町,88100,88600,88600,88600,88600,88100,85700,85600,86600,87700,-0.0005054981442955686,-0.0011370115030275851
112259,埼玉県,入間市,104300,101600,101600,101700,102000,101800,101000,101000,102100,103700,-0.0006408220048456092,0.004633705343420447
112461,埼玉県,白岡市,83500,83800,81700,81900,82100,82200,82000,82100,82600,83000,-0.0006671133875406632,0.00242426021186537
123200,千葉県,印旛郡,38900,38950,38650,38450,38300,38250,38150,38050,38200,38650,-0.0007161296334622369,0.0026041887140970665
124095,千葉県,芝山町,14600,14500,14500,14400,14400,14300,14300,14200,14300,14500,-0.0007633617452581509,0.003478313380999687
123471,千葉県,多古町,14300,14300,14300,14300,14300,14300,14200,14200,14200,14200,-0.0007794263847329397,-0.0017528551165519879
82040,茨城県,古河市,35500,35200,35200,35200,35200,35300,35300,35300,34900,35200,-0.0009425126531442674,-0.0007089688965039587
82074,茨城県,結城市,28300,28000,27900,27900,27900,27900,27900,27900,28000,28000,-0.0011834430087893644,0.0008948554814407483
142034,神奈川県,平塚市,142500,142300,140700,138900,137500,136400,135000,134500,136700,140700,-0.0014114513629431835,0.007789738041455774
143669,神奈川県,開成町,107300,107200,110200,109400,108400,107500,106300,105500,105500,105800,-0.001563013909716915,-0.0039771521337307325
112151,埼玉県,狭山市,108400,108100,107600,107400,107400,107300,105500,105000,105700,106800,-0.0016508760779614384,-0.0011669993037141113
